latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-4.84575,13.47388,305.34,0.43,0.46,2023-10-08,5,1,VIIRS,n,2.0NRT,289.16,0.74,N
-4.74723,28.5361,309.35,0.39,0.6,2023-10-08,5,1,VIIRS,n,2.0NRT,286.04,0.97,N
-4.74199,27.45739,304.94,0.33,0.55,2023-10-08,5,1,VIIRS,n,2.0NRT,283.67,0.63,N
-4.74156,27.45449,300.74,0.33,0.55,2023-10-08,5,1,VIIRS,n,2.0NRT,283.29,0.63,N
-4.59342,28.32137,298.91,0.38,0.59,2023-10-08,5,1,VIIRS,n,2.0NRT,286.77,0.39,N
-4.59027,28.32275,302.61,0.38,0.59,2023-10-08,5,1,VIIRS,n,2.0NRT,286.79,0.65,N
-4.28085,27.52333,306.45,0.33,0.55,2023-10-08,5,1,VIIRS,n,2.0NRT,286.19,0.48,N
-3.95103,14.881,297.83,0.54,0.42,2023-10-08,5,1,VIIRS,n,2.0NRT,282,1.43,N
-3.94716,14.88163,304.36,0.54,0.42,2023-10-08,5,1,VIIRS,n,2.0NRT,282.39,1.63,N
-3.63683,12.22007,303.35,0.54,0.51,2023-10-08,5,1,VIIRS,n,2.0NRT,288.48,6.5,N
-3.63601,12.21518,338.33,0.54,0.51,2023-10-08,5,1,VIIRS,n,2.0NRT,289.67,12.52,N
-17.98025,30.33135,320.16,0.77,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,289.06,2.86,N
-17.77811,27.40925,304.22,0.49,0.65,2023-10-08,7,1,VIIRS,n,2.0NRT,293.73,1.75,N
-17.76566,30.17682,305.95,0.75,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,289.7,1.63,N
-17.75918,30.18439,312.95,0.75,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,289.25,7.09,N
-17.75856,30.17717,339.39,0.75,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,289.69,9.45,N
-17.74498,30.18515,322.2,0.75,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,289.12,3.99,N
-17.71505,29.1152,301.05,0.63,0.72,2023-10-08,7,1,VIIRS,n,2.0NRT,290.02,2.78,N
-17.71392,29.25675,312.66,0.65,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,289.51,2.36,N
-17.7112,29.11608,322.49,0.63,0.72,2023-10-08,7,1,VIIRS,n,2.0NRT,291.17,2.89,N
-17.71094,29.25725,307.86,0.65,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,290.03,2.14,N
-17.71065,29.11022,309.87,0.63,0.72,2023-10-08,7,1,VIIRS,n,2.0NRT,289.23,2.89,N
-17.7084,29.11592,326.74,0.63,0.72,2023-10-08,7,1,VIIRS,n,2.0NRT,290.5,2.78,N
-17.69613,30.17017,305.99,0.75,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,288.82,2.49,N
-17.69378,30.16945,304.88,0.75,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,289.09,2.04,N
-17.54163,30.16421,304.71,0.74,0.76,2023-10-08,7,1,VIIRS,n,2.0NRT,289.02,2.52,N
-17.54101,30.157,310.71,0.74,0.76,2023-10-08,7,1,VIIRS,n,2.0NRT,288.51,3.95,N
-17.53459,30.16494,330.7,0.74,0.76,2023-10-08,7,1,VIIRS,n,2.0NRT,288.01,7.26,N
-17.50051,30.35359,302.9,0.76,0.77,2023-10-08,7,1,VIIRS,n,2.0NRT,287.7,0.96,N
-17.40631,29.81532,323.43,0.7,0.75,2023-10-08,7,1,VIIRS,n,2.0NRT,291.35,3.32,N
-17.33591,30.11798,303.17,0.73,0.76,2023-10-08,7,1,VIIRS,n,2.0NRT,290.07,1.22,N
-17.28223,27.16907,315.22,0.47,0.64,2023-10-08,7,1,VIIRS,n,2.0NRT,292.33,1.41,N
-17.2665,27.24822,305.75,0.47,0.64,2023-10-08,7,1,VIIRS,n,2.0NRT,295,1.88,N
-17.25626,29.48884,332.08,0.66,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,293.87,5.55,N
-17.25236,29.49348,308.22,0.67,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,292.36,8.08,N
-17.25179,29.48719,350.83,0.66,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,293.99,8.08,N
-17.25128,29.48149,305.02,0.66,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,291.87,4.96,N
-17.24944,29.48897,339.83,0.66,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,293.57,5.55,N
-17.24889,29.48328,313.06,0.66,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,292.23,5.55,N
-17.24212,29.48384,302.66,0.66,0.73,2023-10-08,7,1,VIIRS,n,2.0NRT,291.02,1.66,N
-17.2133,26.84469,298.31,0.44,0.63,2023-10-08,7,1,VIIRS,n,2.0NRT,287.98,0.34,N
-17.21138,26.2441,301.48,0.4,0.6,2023-10-08,7,1,VIIRS,n,2.0NRT,289.61,0.69,N
-17.20642,26.24375,317.77,0.4,0.6,2023-10-08,7,1,VIIRS,n,2.0NRT,289.7,2.15,N
-17.19571,26.14664,302.52,0.4,0.6,2023-10-08,7,1,VIIRS,n,2.0NRT,289.97,1.1,N
-17.0966,29.70536,302.98,0.68,0.74,2023-10-08,7,1,VIIRS,n,2.0NRT,289.63,1.25,N
-17.09578,28.13922,307.92,0.54,0.68,2023-10-08,7,1,VIIRS,n,2.0NRT,293.66,1.26,N
-17.09394,28.13692,308.46,0.54,0.68,2023-10-08,7,1,VIIRS,n,2.0NRT,292.73,1.13,N
-17.04891,28.57159,315.06,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.42,2.72,N
-17.04741,28.5727,316.88,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.63,3.33,N
-17.04689,28.56761,311.52,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.15,3.9,N
-17.04397,28.58775,307.53,0.58,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.29,1.56,N
-17.04346,28.58232,306.23,0.58,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.58,2.6,N
