"Product ID",Time,Satellite,F1,X,Y,Latitude,Longitude
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,357,1423,263,-16.153949071239,134.84862270799
S3A_SL_1_RBT____20231005T131405_20231005T131705_20231006T225032_0179_104_124_0900_PS1_O_NT_004,"2023-10-05 13:14:05",S3A,331,1015,1131,62.443293532071,113.64825782509
S3A_SL_1_RBT____20231005T131405_20231005T131705_20231006T225032_0179_104_124_0900_PS1_O_NT_004,"2023-10-05 13:14:05",S3A,401,1100,1034,61.352117904779,112.81543219502
S3A_SL_1_RBT____20231005T131405_20231005T131705_20231006T225032_0179_104_124_0900_PS1_O_NT_004,"2023-10-05 13:14:05",S3A,335,1101,1034,61.348795766409,112.7980701643
S3A_SL_1_RBT____20231005T143505_20231005T143805_20231006T225537_0180_104_124_5760_PS1_O_NT_004,"2023-10-05 14:35:05",S3A,328,809,1045,-8.0252014576457,113.56516760163
S3A_SL_1_RBT____20231005T143505_20231005T143805_20231006T225537_0180_104_124_5760_PS1_O_NT_004,"2023-10-05 14:35:05",S3A,321,809,1046,-8.0163512896273,113.56314139852
S3A_SL_1_RBT____20231005T143505_20231005T143805_20231006T225537_0180_104_124_5760_PS1_O_NT_004,"2023-10-05 14:35:05",S3A,328,810,1046,-8.0183620442688,113.55429728394
S3A_SL_1_RBT____20231005T143505_20231005T143805_20231006T225537_0180_104_124_5760_PS1_O_NT_004,"2023-10-05 14:35:05",S3A,326,1056,1147,-7.6123011010944,111.17628848336
S3A_SL_1_RBT____20231005T143505_20231005T143805_20231006T225537_0180_104_124_5760_PS1_O_NT_004,"2023-10-05 14:35:05",S3A,328,1056,1148,-7.6034424259137,111.17431358485
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,321,494,416,-2.3421033267764,115.18570404173
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,322,515,400,-2.5254723919595,115.03348235649
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,322,516,400,-2.5274737393306,115.02471348496
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,325,584,415,-2.5308073565976,114.39848671158
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,320,591,465,-2.1026253320701,114.23770110231
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,343,592,405,-2.6352018604675,114.34823907855
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,323,592,406,-2.626359197218,114.34624708462
